id,polygon,point
1,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.179142,-8.100922],[112.179703,-8.100959],[112.179831,-8.100261],[112.179335,-8.100197],[112.179142,-8.100922]]]}}",NULL
26,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.176638,-8.095537],[112.176096,-8.094252],[112.178264,-8.093333],[112.178521,-8.093917],[112.178328,-8.094783],[112.176638,-8.095537]]]}}",NULL
92,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.176424,-8.0926],[112.177094,-8.092388],[112.177529,-8.09328],[112.177518,-8.093434],[112.176912,-8.093683],[112.176424,-8.0926]]]}}",NULL
95,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.183639,-8.092154],[112.184363,-8.092287],[112.184234,-8.09285],[112.183521,-8.092706],[112.183639,-8.092154]]]}}",NULL
222,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.164166,-8.099674],[112.164807,-8.099804],[112.164938,-8.099279],[112.164877,-8.099135],[112.164783,-8.099077],[112.164279,-8.099063],[112.164166,-8.099674]]]}}",NULL
432,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.164043,-8.112885],[112.164354,-8.112014],[112.165027,-8.112285],[112.164617,-8.113161],[112.164043,-8.112885]]]}}",NULL
453,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.164807,-8.099804],[112.164743,-8.100041],[112.164099,-8.099871],[112.164166,-8.099674],[112.164807,-8.099804]]]}}",NULL
523,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.171778,-8.079041],[112.172942,-8.079444],[112.172588,-8.080284],[112.171419,-8.079896],[112.171778,-8.079041]]]}}",NULL
556,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.173645,-8.096594],[112.175115,-8.096928],[112.175399,-8.095771],[112.173977,-8.095558],[112.173645,-8.096594]]]}}",NULL
564,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.164287,-8.099087],[112.164783,-8.099114],[112.164938,-8.099281],[112.164815,-8.099826],[112.164158,-8.09965],[112.164287,-8.099087]]]}}",NULL
565,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.156492,-8.099151],[112.156605,-8.09853],[112.157916,-8.098697],[112.157804,-8.099348],[112.156492,-8.099151]]]}}",NULL
566,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.152898,-8.100731],[112.153424,-8.1008],[112.153228,-8.101769],[112.152721,-8.101663],[112.152898,-8.100731]]]}}",NULL
568,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.165711,-8.08752],[112.166371,-8.087825],[112.166985,-8.08663],[112.166247,-8.086349],[112.165711,-8.08752]]]}}",NULL
762,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.164976,-8.099552],[112.165582,-8.099642],[112.165676,-8.099125],[112.165177,-8.099101],[112.165062,-8.099175],[112.164976,-8.099552]]]}}",NULL
769,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.164378,-8.098888],[112.165816,-8.098994],[112.166084,-8.097497],[112.164603,-8.097284],[112.164378,-8.098888]]]}}",NULL
795,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.158651,-8.124162],[112.157401,-8.123519],[112.157992,-8.121985],[112.159258,-8.122293],[112.15959,-8.122505],[112.158651,-8.124162]]]}}",NULL
800,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.167948,-8.09379],[112.168141,-8.092165],[112.169345,-8.092319],[112.169174,-8.094034],[112.167948,-8.09379]]]}}",NULL
801,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.179084,-8.107941],[112.179594,-8.108148],[112.179817,-8.107577],[112.179296,-8.107394],[112.179084,-8.107941]]]}}",NULL
803,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.16905,-8.097383],[112.169702,-8.097422],[112.169699,-8.097868],[112.168997,-8.097773],[112.16905,-8.097383]]]}}",NULL
805,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.175533,-8.098365],[112.175911,-8.097417],[112.176169,-8.097499],[112.176113,-8.097685],[112.176662,-8.097786],[112.176448,-8.098532],[112.175533,-8.098365]]]}}",NULL
808,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.16503,-8.092491],[112.164702,-8.09213],[112.165453,-8.091458],[112.165853,-8.091575],[112.165754,-8.091862],[112.16503,-8.092491]]]}}",NULL
809,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.171612,-8.090927],[112.171692,-8.090693],[112.171875,-8.090762],[112.171987,-8.09047],[112.172529,-8.090651],[112.172663,-8.09021],[112.172406,-8.090136],[112.17254,-8.089748],[112.17129,-8.089413],[112.170812,-8.090444],[112.171113,-8.090603],[112.171049,-8.090746],[112.171612,-8.090927]]]}}",NULL
843,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.163914,-8.099658],[112.164166,-8.099674],[112.164279,-8.099063],[112.164032,-8.099058],[112.163914,-8.099658]]]}}",NULL
1001,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.175066,-8.085629],[112.175882,-8.086044],[112.176,-8.08568],[112.176083,-8.085295],[112.175517,-8.084968],[112.175066,-8.085629]]]}}",NULL
1002,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.175517,-8.084968],[112.176054,-8.084418],[112.17633,-8.08458],[112.176139,-8.084971],[112.176247,-8.085037],[112.176083,-8.085295],[112.175517,-8.084968]]]}}",NULL
1112,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.184873,-8.07928],[112.184175,-8.078775],[112.184183,-8.078696],[112.185047,-8.078053],[112.185138,-8.078056],[112.185229,-8.07835],[112.184969,-8.079251],[112.184873,-8.07928]]]}}",NULL
1145,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.183387,-8.076861],[112.183663,-8.077015],[112.184092,-8.076473],[112.183515,-8.076194],[112.183346,-8.076406],[112.183387,-8.076861]]]}}",NULL
1224,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.170743,-8.095436],[112.171644,-8.095601],[112.171955,-8.094236],[112.171108,-8.094023],[112.170743,-8.095436]]]}}",NULL
1233,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Polygon"",""coordinates"":[[[112.171778,-8.079041],[112.172019,-8.078393],[112.17321,-8.07877],[112.172942,-8.079444],[112.171778,-8.079041]]]}}",NULL
